study	name	release_date
7791	Police Referral Practices and Social Service Agency Practices in Three Metropolitan Areas, 1977	1984-03-18 00:00:00
7793	Professional Schools in the United States, 1972	1990-05-01 00:00:00
7796	Americans' Use of Time, 1965-1966, and Time Use in Economic and Social Accounts, 1975-1976: Merged Data	1984-07-02 00:00:00
7797	Survey of California Prison Inmates, 1976	1984-03-18 00:00:00
7798	National Camping Market Survey, 1971	1984-03-18 00:00:00
7799	National Camping Market Survey, 1973	1984-03-18 00:00:00
7800	National Camping Market Survey, 1978	1984-03-18 00:00:00
7801	National Skiing Market Survey, 1978	1984-03-18 00:00:00
7803	Roster of United States Congressional Officeholders and Biographical Characteristics of Members of the United States Congress, 1789-1996: Merged Data	1984-07-06 00:00:00
7804	Federal Employee Attitudes Survey, 1979-1980	1984-05-03 00:00:00
7805	Indiana Outdoor Recreation Survey, 1976	1984-03-18 00:00:00
7806	Students in Secondary Schools in France, 1864	1984-05-03 00:00:00
7807	Euro-Barometer 10.A: Scientific Priorities in the European Community, October/November, 1978	1984-06-27 00:00:00
7808	Assessing Local Legal Culture:  Practitioner Norms in Four Criminal Courts, 1979	1984-05-03 00:00:00
7810	Census of Population and Housing, 1980 [United States]: P.L. 94-171 Population Counts: 1978 Richmond Dress Rehearsal	1984-06-28 00:00:00
7811	Survey of Inmates of State Correctional Facilities and Census of State Adult Correctional Facilities, 1974	1984-03-18 00:00:00
7812	CBS News/New York Times Election Surveys, 1980	1984-05-08 00:00:00
7814	CBS News Election Surveys, 1978	1984-05-08 00:00:00
7815	Michigan Tax Limitation Amendments Study, 1978	1984-06-20 00:00:00
7816	CBS News/LOS ANGELES TIMES California Primary Day Survey, 1978 	1984-05-08 00:00:00
7817	CBS News Polls, 1977-1979	1984-06-20 00:00:00
7818	CBS News/New York Times Polls, 1977-1978	1984-06-20 00:00:00
7819	CBS News/New York Times Polls, 1979	1984-06-20 00:00:00
7820	National Survey of Voter Attitudes, June 1980	1984-05-08 00:00:00
7821	Military Personnel and Weapons Stocks in Newly Independent States, 1957-1981	1984-05-03 00:00:00
7822	World Issues Survey, 1979	1984-06-20 00:00:00
7823	Project Talent Public Use File, 1960-1976	1984-03-18 00:00:00
7824	Survey of Judges on the Role of Courts in American Society, 1979	1984-05-03 00:00:00
7825	United States Census Data, 1900: Public Use Sample	1984-06-28 00:00:00
7832	New York City Court Employment Project Evaluation Study, 1976-1979	1984-05-03 00:00:00
7835	Michigan Survey of Voter Attitudes, October 1980	1984-05-08 00:00:00
7836	Current Population Survey: Annual Demographic File, 1978	1984-06-28 00:00:00
7837	Current Population Survey: Annual Demographic File, 1979	1984-06-28 00:00:00
7838	Health Interview Survey, 1970	1984-05-03 00:00:00
7839	Health Interview Survey, 1977	1984-05-03 00:00:00
7840	General Revenue Sharing, 1978 Population Estimates 	1984-06-28 00:00:00
7841	Federal-State Cooperative Program:  1975-1976 Population Estimates	1984-06-28 00:00:00
7842	Federal-State Cooperative Program: 1976-1977 Population Estimates	1984-06-28 00:00:00
7843	Federal-State Cooperative Program: 1977-1978 Population Estimates	1984-06-28 00:00:00
7844	General Revenue Sharing, 1976 Population Estimates	1984-06-28 00:00:00
7845	Dictionary of Occupational Titles (DOT): Part I - Current Population Survey, April 1971, Augmented With DOT Characteristics and Dictionary of Occupational Titles (DOT): Part II - Fourth Edition Dictionary of DOT Scores for 1970 Census Categories 	1984-05-11 00:00:00
7846	Juvenile Detention and Correctional Facility Census, 1979	1984-03-18 00:00:00
7847	Texas Recreation Participation Survey, 1980	1984-03-18 00:00:00
7849	Annual Housing Survey, 1975 [United States]:  Travel-to-Work [SMSAs]	1984-06-28 00:00:00
7850	Census of Population and Housing, 1980 [United States]: Master Area Reference File (MARF): 1978 Richmond Dress Rehearsal	1984-06-28 00:00:00
7851	Legislative Behavior in the Israeli Knesset, 1974-1975	1984-05-03 00:00:00
7852	Census of State Adult Correctional Facilities, 1979	1984-03-18 00:00:00
7853	Geriatric Home Care Utilization: San Francisco, 1968-1975	1984-05-03 00:00:00
7854	Census of Population and Housing, 1980 [United States]:  P.L. 94-171 Population Counts	1984-06-28 00:00:00
7855	Illegal Corporate Behavior, 1975-1976	1984-03-18 00:00:00
7856	Survey of Inmates of State Correctional Facilities, 1979	1984-03-18 00:00:00
7858	National Justice Agency List, 1980	1984-03-18 00:00:00
7859	Retirement History Longitudinal Survey, 1975	1984-03-18 00:00:00
7860	Elderly in Rural Kentucky, 1975	1984-03-18 00:00:00
7861	Electoral Returns for Statewide Offices in the United States, 1874-1952	1985-12-20 00:00:00
7863	Current Population Survey:  Annual Demographic File, 1980 	1984-06-28 00:00:00
7864	Electric Utility Rate Demonstration Project:  Los Angeles, 1976-1979	1984-05-11 00:00:00
7865	National Supported Work Evaluation Study, 1975-1979: Public Use Files	1984-05-10 00:00:00
7866	National Survey of Institutionalized Persons, 1976	1984-05-03 00:00:00
7868	British Election Study: February 1974, Cross-Section	1984-06-19 00:00:00
7869	British Election Study: 1969-1970, February 1974 Panel	1984-06-19 00:00:00
7870	British Election Study: October 1974, Cross-Section	1984-06-19 00:00:00
7871	British Election Study: October 1974, Scottish Cross-Section	1984-06-19 00:00:00
7872	British Election Study: EEC Referendum Survey, 1975	1984-06-19 00:00:00
7874	Transitional Aid Research Project (TARP), 1976-1977	1984-03-18 00:00:00
7875	Current Population Survey:  Voter Supplement File, 1980 	1984-06-19 00:00:00
7876	Current Population Survey:  Voter Supplement File, 1978 	1984-06-19 00:00:00
7877	Energy Crisis Attitudes and Conservation Behavior in the United States, April-May 1980	1984-03-18 00:00:00
7879	Quality of Canadian Life:  Social Change in Canada, 1977	1984-07-02 00:00:00
7880	Electric Utility Rate Demonstration Project: Wisconsin, 1976-1980	1984-05-11 00:00:00
7881	Electric Utility Rate Demonstration Project: Connecticut, 1975-1976	1984-05-11 00:00:00
7882	Electric Utility Rate Demonstration Project: Ohio, 1976-1977	1984-05-11 00:00:00
7883	Electric Utility Rate Demonstration Project: Rhode Island, 1977-1978	1984-05-11 00:00:00
7884	Electric Utility Rate Demonstration Project: Arkansas, 1976-1977	1984-05-11 00:00:00
7885	Electric Utility Rate Demonstration Project:  North Carolina, 1977-1978	1984-05-11 00:00:00
7886	Electric Utility Rate Demonstration Project: Oklahoma, 1977-1978	1984-05-11 00:00:00
7887	Electric Utility Rate Demonstration Project:  Arizona, 1975-1976	1984-05-11 00:00:00
7888	Electric Utility Rate Demonstration Project: Puerto Rico, 1978-1980	1984-05-11 00:00:00
7889	Electric Utility Rate Demonstration Project: Vermont, 1975-1976	1984-05-11 00:00:00
7892	Historical Supplement to the Demographic Yearbook, 1948-1978	1984-06-28 00:00:00
7893	Yearbook of World Energy Statistics, Master File, 1970-1979	1984-05-11 00:00:00
7894	Commodity Production Statistics, 1958-1979	1984-05-11 00:00:00
7895	Index of Industrial Production Statistics, 1968-1977	1984-05-11 00:00:00
7896	High School and Beyond, 1980: A Longitudinal Survey of Students in the United States	1984-03-18 00:00:00
7898	National Survey of Family Growth, Cycle I, 1973	1984-03-18 00:00:00
7899	Survey of American Prisons and Jails, 1979	1984-03-18 00:00:00
7900	Monitoring the Future:  A Continuing Study of the Lifestyles and Values of Youth, 1980	1984-03-18 00:00:00
7901	Detroit Area Study, 1974: A Study of Women's Labor Force Participation	1984-05-10 00:00:00
7902	National Survey of Family Growth, Cycle II, 1976:  Couple File 	1984-03-18 00:00:00
7904	World Military and Social Expenditures, 1980 [Dearchived at request of PI 9/89]	1996-07-23 00:00:00
7905	Detroit Area Study, 1972: A Comparative Study on Personnel Practices in Private Firms	1984-05-10 00:00:00
7906	Detroit Area Study, 1976:  A Study of Metropolitan and Neighborhood Problems	1984-05-10 00:00:00
7907	Detroit Area Study, 1973: A Study of the Civil Military Interface and the Application of Laboratory Methodologies in a Survey Setting	1984-05-10 00:00:00
7908	Detroit Area Study, 1975: A Study of Community Life and Politics	1984-05-10 00:00:00
7909	Massachusetts Statewide Criminal Justice Guidelines Evaluation, 1979:  Sentencing Data	1984-03-18 00:00:00
7910	New Jersey Statewide Criminal Justice Guidelines Evaluation, 1979	1984-03-18 00:00:00
7911	New Jersey Statewide Criminal Justice Guidelines Evaluation, 1980:  Inmate Survey Data	1984-03-18 00:00:00
7912	Dutch Parliamentary Election Study, 1981	1985-10-09 00:00:00
7913	Census of Population and Housing 1980 [United States]: 1970-Pre 1980 Tract Relationships	1984-06-28 00:00:00
7914	Teaching Faculty in Academe, 1972-1973	1984-05-03 00:00:00
7915	Survey of Income and Education, 1976:  Modified File	1984-06-28 00:00:00
7916	Survey of Income and Education, 1976: Hispanic Extract	1984-06-28 00:00:00
7917	Survey of Income and Education, 1976: Immigrant Extract	1984-06-28 00:00:00
7918	Survey of Income and Education, 1976: Welfare Extract	1984-06-28 00:00:00
7919	Survey of Income and Education, 1976: Rectangular File	1984-06-28 00:00:00
7920	Mexican Origin People in the United States: National Ethnic Screening Survey, 1978	1984-03-18 00:00:00
7921	Mexican Origin People in the United States: Detroit Pilot Ethnic Screening Survey, 1979	1984-03-18 00:00:00
7922	Census of Population and Housing [United States], 1970 Public Use Sample:  Modified 1/1000 5% State Samples 	1984-06-28 00:00:00
7923	Census of Population and Housing [United States], 1970 Public Use Sample:  Modified 1/1000 15% State Samples 	1984-06-28 00:00:00
7924	Census of Population and Housing [United States], 1960 Public Use Sample:  Modified 1/1000 State Samples 	1984-06-28 00:00:00
7925	Hispanic Scholars Survey, 1973	1984-05-03 00:00:00
7927	Monitoring the Future: A Continuing Study of the Lifestyles and Values of Youth, 1976	1984-03-18 00:00:00
7928	Monitoring the Future: A Continuing Study of the Lifestyles and Values of Youth, 1977	1984-03-18 00:00:00
7929	Monitoring the Future: A Continuing Study of the Lifestyles and Values of Youth, 1978	1984-03-18 00:00:00
7930	Monitoring the Future: A Continuing Study of the Lifestyles and Values of Youth, 1979	1984-03-18 00:00:00
7931	Retirement History Longitudinal Survey, 1977	1984-07-06 00:00:00
7932	Social Indicators Time Series Archive for the United States, 1946-1980	1984-07-13 00:00:00
7933	Current Population Survey, May 1970 	1984-06-28 00:00:00
7934	Current Population Survey, May 1971 	1984-06-28 00:00:00
7935	Current Population Survey, May 1972 	1984-06-28 00:00:00
7936	Current Population Survey, May 1973  	1984-06-28 00:00:00
7937	Current Population Survey, May 1974 	1984-06-28 00:00:00
7938	Current Population Survey, May 1975 	1984-06-28 00:00:00
7939	Current Population Survey, May 1976 	1984-06-28 00:00:00
7940	Experiments in Question Wording, Form, and Context in Attitude Surveys, 1971-1980	1984-05-10 00:00:00
7941	Census of Population and Housing, 1980 [United States]:  Summary Tape File 1A    	1984-06-28 00:00:00
7945	National Survey of the Aged, 1975	1984-03-18 00:00:00
7946	National Nursing Home Survey, 1977	1984-05-03 00:00:00
7947	International Terrorism: Attributes of Terrorist Events, 1968-1977 [ITERATE 2]	1984-06-29 00:00:00
7948	Americans View Their Mental Health, 1976	1984-05-10 00:00:00
7949	Americans View Their Mental Health, 1957 and 1976: Selected Variables	1984-06-29 00:00:00
7950	General Industrial Statistics, 1963-1979	1984-05-11 00:00:00
7951	Characteristics of High and Low Crime Neighborhoods in Atlanta, 1980	1984-03-18 00:00:00
7952	Crime Factors and Neighborhood Decline in Chicago, 1979  	1984-03-18 00:00:00
7953	Italian Mass Election Survey, 1968	1984-06-19 00:00:00
7954	Italian Mass Election Survey, 1972	1984-06-19 00:00:00
7955	County-Level Estimates of the Population Aged Sixty Years and Over by Age, Sex, and Race, 1977-1980	1984-06-28 00:00:00
7957	Euro-barometer 13:  Regional Development and Integration, April 1980	1984-06-27 00:00:00
7958	Euro-barometer 14:  Trust in the European Community, October 1980	1984-06-27 00:00:00
7959	Euro-barometer 15:  Membership in the European Community, April 1981	1984-06-27 00:00:00
7963	German Election Study, 1980	1984-06-19 00:00:00
7964	World Military Expenditures and Arms Transfers, 1969-1978	1984-05-03 00:00:00
7965	Mexican Origin People in the United States: Austin (Texas) Pilot Survey, 1978-1979	1984-03-18 00:00:00
7966	Census of Population and Housing, 1970 [United States]: Fifth Count Extract (27 States)	1984-06-28 00:00:00
7967	Current Population Survey, May 1977 	1984-06-28 00:00:00
7968	Census of Canada, 1971:  Public Use Samples	1984-06-28 00:00:00
7969	Census of Canada, 1976:  Public Use Samples	1984-06-28 00:00:00
7970	Census of Population and Housing, 1980 [United States]:  Person and Housing Unit Counts for Tracts and Minor Civil Divisions 	1984-06-28 00:00:00
7971	Characteristics and Movement of Felons in California Prisons, 1851-1964	1985-03-18 00:00:00
7972	Pretrial Release Practices in the United States, 1976-1978	1984-03-18 00:00:00
7973	Deterrent Effects of Arrests and Imprisonment in the United States, 1960-1977	1984-03-18 00:00:00
7974	Current Population Survey, May 1979	1984-06-28 00:00:00
7975	Census of Population and Housing, 1980 [United States]:  Summary Tape File 1B	1984-06-28 00:00:00
7976	Annual Housing Survey, 1975 [United States]:  SMSA Files	1984-06-28 00:00:00
7977	Annual Housing Survey, 1973 [United States]:  National File 	1984-06-28 00:00:00
7978	Annual Housing Survey, 1974 [United States]: SMSA Files	1984-06-28 00:00:00
7979	Annual Housing Survey, 1974 [United States]:  National File 	1984-06-28 00:00:00
7980	Annual Housing Survey, 1977 [United States]: SMSA Files	1984-06-28 00:00:00
7981	Annual Housing Survey, 1975 [United States]:  National File 	1984-06-28 00:00:00
7982	Annual Housing Survey, 1976 [United States]:  National File 	1984-06-28 00:00:00
7983	Annual Housing Survey, 1976 [United States]:  SMSA Files	1984-06-28 00:00:00
7984	Annual Housing Survey, 1977 [United States]:  National File 	1984-06-28 00:00:00
7985	Annual Housing Survey, 1978 [United States]:  National Core File 	1984-06-28 00:00:00
7986	Quality of Life in the Detroit Metropolitan Area, 1975	1984-03-18 00:00:00
7987	National Health and Nutrition Examination Survey I, 1971-1975: Medical History	1984-05-03 00:00:00
7989	Televised Presidential Campaign Impact on Voters:  1972 Panel, Syracuse, New York	1984-05-08 00:00:00
7990	Presidential Campaign Impact on Voters: 1976 Panel, Erie, Pennsylvania, and Los Angeles	1984-05-08 00:00:00
7991	CBS News/New York Times National Surveys, 1981	1984-06-20 00:00:00
7992	Nationwide Personal Transportation Study, 1977 [United States]	1984-05-11 00:00:00
7993	Current Population Survey, June 1980 	1984-06-28 00:00:00
7994	Civil Litigation in the United States, 1977-1979	1984-05-03 00:00:00
7995	Annual Housing Survey, 1979 [United States]:  National Core File 	1984-06-28 00:00:00
7996	Current Population Survey, May 1969 	1984-06-28 00:00:00
7998	Alien Address Reports, [United States]: 1980 Public Use File	1984-03-18 00:00:00
7999	Immigrants Admitted to the United States, 1979	1984-03-18 00:00:00
8000	Mexican Origin People in the United States: Detroit Pretest, 1978	1984-03-18 00:00:00
8001	Cancer Surveillance and Epidemiology in the United States and Puerto Rico, 1973-1977	1984-05-03 00:00:00
8002	Commercial Victimization Surveys, 1972-1975 [United States]: Cities Sample	1984-03-18 00:00:00
8003	Commercial Victimization Surveys, 1973-1977 [United States]: National Sample	1984-03-18 00:00:00
8004	Census Data for Planning and Service Areas, 1980:  United States and Puerto Rico	1984-06-28 00:00:00
8010	ABC News/Washington Post Race Relations Poll, February-March 1981   	1984-03-18 00:00:00
8011	ABC News/Washington Post Reaganomics Poll, February 1981	1984-06-20 00:00:00
8012	ABC News/Washington Post Inflation Poll, March 1981 	1984-05-11 00:00:00
8013	ABC News/Washington Post Reagan Shooting Poll, March 1981	1984-06-20 00:00:00
8014	ABC News/Washington Post Reagan 100 Days Poll, April 1981 	1984-06-20 00:00:00
8015	ABC News/Washington Post Social Security Poll, May 1981 	1984-05-11 00:00:00
8016	ABC News/Washington Post Sex and Abortion Poll, May 1981 	1984-03-18 00:00:00
8017	ABC News/Washington Post Foreign Policy Poll, October 1981	1984-06-20 00:00:00
8018	ABC News/Washington Post Education Poll, September 1981 	1984-05-03 00:00:00
8019	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, November 1981	1984-06-20 00:00:00
8020	ABC News Poll of Public Opinion on Current Social and Political Issues, December 1981	1984-06-20 00:00:00
8021	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, January 1982	1984-06-20 00:00:00
8022	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, February 1982	1984-06-20 00:00:00
8023	ABC News/Washington Post Poll of Public Opinion on Latin America, March 1982	1984-06-20 00:00:00
8024	ABC News/Washington Post Poll of Public Opinion on Aging, March 1982	1984-03-18 00:00:00
8025	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, May/June 1982	1984-06-20 00:00:00
8026	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, April 1982	1984-06-20 00:00:00
8036	Census of Population and Housing, 1980 [United States]: Summary Tape File 2A	1984-06-28 00:00:00
8037	Census of Population and Housing, 1980 [United States]:  Summary Tape File 2B 	1984-06-28 00:00:00
8038	Census of Population and Housing, 1980 [United States]: Summary Tape File 3C	1984-06-28 00:00:00
8039	Census of Population and Housing, 1980 [United States]: Master Area Reference File (MARF)	1984-06-28 00:00:00
8040	Current Population Survey:  Annual Demographic File, 1980 (With 1980-Based Weights) 	1984-06-28 00:00:00
8042	Offender Based Transaction Statistics (OBTS), 1979:  Hawaii	1986-04-28 00:00:00
8043	National Survey of Adolescent Female Sexual Behavior, 1976	1984-03-18 00:00:00
8044	Health Interview Survey, 1978	1984-05-03 00:00:00
8046	National Ambulatory Medical Care Survey, 1977	1984-05-03 00:00:00
8047	National Ambulatory Medical Care Survey, 1978	1984-05-03 00:00:00
8048	National Ambulatory Medical Care Survey, 1979	1984-05-03 00:00:00
8049	National Health Interview Survey, 1979	1984-05-03 00:00:00
8050	Media Crime Prevention Campaign in the United States, 1980	1984-03-18 00:00:00
8051	Census of Population and Housing, 1980 [United States]: 1979 County and MCD By Zip Code	1984-06-28 00:00:00
8052	Current Population Survey, November 1979 	1984-06-28 00:00:00
8053	Women in Development, 1979-1980	1984-05-10 00:00:00
8054	World Population 1955-1981:  Recent Demographic Estimates for the Countries and Regions of the World	1984-06-28 00:00:00
8055	National Health and Nutrition Examination Survey I, 1971-1975: Medical Examination	1984-05-03 00:00:00
8056	National Health and Nutrition Examination Survey I, 1971-1975: General Well-Being	1984-05-03 00:00:00
8057	National Health and Nutrition Examination Survey I, 1971-1975: Dietary Frequency and Adequacy	1984-05-03 00:00:00
8058	National Health and Nutrition Examination Survey I, 1971-1975:  Anthropometry, Goniometry, Skeletal Age, Bone Density, and Cortical  Thickness	1984-05-03 00:00:00
8059	National Health and Nutrition Examination Survey I, 1971-1975:  Ophthalmology	1984-05-03 00:00:00
8060	National Health and Nutrition Examination Survey I, 1971-1975:  Arthritis	1984-05-03 00:00:00
8061	National Health and Nutrition Examination Survey I, 1971-1975: Health  Care Needs, General Medical History and Supplements on Respiratory and  Cardiovascular Data	1984-05-03 00:00:00
8062	National Health and Nutrition Examination Survey I, 1971-1975: Near and Distant Vision	1984-05-03 00:00:00
8063	National Health and Nutrition Examination Survey I, 1971-1975:  Dermatology	1984-05-03 00:00:00
8064	National Health and Nutrition Examination Survey I, 1971-1975:  Spirometry	1984-05-03 00:00:00
8065	National Health and Nutrition Examination Survey I, 1971-1975: Computer Measurements and Interpretations of Electrocardiograms	1984-05-03 00:00:00
8066	National Health and Nutrition Examination Survey I, 1971-1975: Dental	1984-05-03 00:00:00
8067	National Health and Nutrition Examination Survey I, 1971-1975:  Audiometric Test	1984-05-03 00:00:00
8068	National Health and Nutrition Examination Survey I, 1971-1975: Food  Consumption Intake	1984-05-03 00:00:00
8069	National Health and Nutrition Examination Survey I, 1971-1975:  Biochemistry, Serology, Hematology, Peripheral Blood Slide, and Urinary  Data	1984-05-03 00:00:00
8070	National Health and Nutrition Examination Survey I, 1971-1975: Model Gram File Composition	1984-05-03 00:00:00
8071	Census of Population and Housing, 1980 [United States]: Summary Tape File 3A	1984-06-28 00:00:00
8072	National Assessment of Educational Progress [United States], 1970-1980	1984-05-03 00:00:00
8074	Experiences and Plans of Young Adults, 1973-1978  [United States]	1984-07-13 00:00:00
8075	Law Enforcement Assistance Administration Profile Data, [1968-1978]	1985-05-24 00:00:00
8076	Governmental Responses to Crime in the United States, 1948-1978	1984-03-18 00:00:00
8077	Census of Population and Housing, 1980 [United States]:  Summary Tape File 1 National Subset 	1984-06-28 00:00:00
8078	Social and Political Attitudes of the American Labor Force:  A Comparative Study of Unemployed and Employed Workers, 1976	1984-06-20 00:00:00
8079	The 1974-1979-1980 Canadian National Elections and Quebec Referendum Panel Study	1984-06-20 00:00:00
8080	Politics of Public Utility Regulation in the United States, 1980	1985-03-18 00:00:00
8082	Federal Outlays, County and City Master Files, Fiscal Year 1980	1984-05-03 00:00:00
8084	Statistics of Income:  Corporate Source Book, 1976 	1984-05-11 00:00:00
8085	National Longitudinal Study of the Class of 1972    	1984-03-18 00:00:00
8086	Citizen Participation and Community Crime Prevention, 1979:  Chicago Metropolitan Area Survey	1984-07-12 00:00:00
8087	Inmate Victimization in State Prisons in the United States, 1979	1984-03-18 00:00:00
8088	Xenon (New Jersey) Commercial Burglary Data, 1979-1981	1984-03-18 00:00:00
8089	Port Authority Cargo Theft Data of New Jersey and New York, 1978-1980	1984-03-18 00:00:00
8090	SLATS Truck Theft Data of New York City, 1976-1980	1984-03-18 00:00:00
8091	Census of Population and Housing, 1980 [United States]:  Summary Tape File 1C   	1984-06-28 00:00:00
8092	Terman Life-Cycle Study of Children with High Ability, 1922-1991	1984-03-18 00:00:00
8093	Census of Population and Housing, 1980 [United States]:  Summary Tape File 1D   	1984-06-28 00:00:00
8094	Political Involvement Among Adolescents, [1974: Pennsylvania]	1986-11-07 00:00:00
8100	ABC News Poll of Public Opinion on Crime, December 1982	1984-03-18 00:00:00
8101	Census of Population and Housing, 1980 [United States]: Public Use Microdata Sample (A Sample): 5-Percent Sample	1984-06-28 00:00:00
8102	National Health and Nutrition Examination Survey II, 1976-1980:  Hematology and Biochemistry	1984-05-03 00:00:00
8103	National Health and Nutrition Examination Survey II, 1976-1980: Total  Nutrient Intake, Food Frequency, and Other Related Dietary Data	1984-05-03 00:00:00
8104	National Health and Nutrition Examination Survey II, 1976-1980:  Anthropometric	1984-05-03 00:00:00
8105	National Health and Nutrition Examination Survey II, 1976-1980: 24-Hour Recall, Specific Food Item	1984-05-03 00:00:00
8106	National Health and Nutrition Examination Survey II, 1976-1980: Model  Gram and Nutrient Composition	1984-05-03 00:00:00
8107	Census of Population and Housing, 1970 [United States]: Summary Statistic File 4C -- Population [Fourth Count]	1984-06-28 00:00:00
8108	Census of Population and Housing, 1980 [United States]:  County Population by Age, Sex, Race, and Spanish Origin	1984-06-28 00:00:00
8109	Census of Population and Housing, 1970 [United States]:  Master Enumeration District (MED) Lists  	1984-06-28 00:00:00
8112	National Natality Followback Survey [United States], 1972	1984-03-18 00:00:00
8113	Vital Statistics:  Marriage Detail [United States], 1979 	1984-03-18 00:00:00
8114	Census of Population and Housing, 1980 [United States]: Public Use Microdata Sample (C Sample): 1-Percent Sample	1984-06-28 00:00:00
8115	Current Population Survey, January 1981	1984-06-28 00:00:00
8116	Current Population Survey, October 1981	1984-06-28 00:00:00
8117	Census of Governments, 1977:  Employment Summary Statistics	1984-05-03 00:00:00
8118	Census of Governments, 1977:  Finance Summary Statistics	1984-05-03 00:00:00
8119	Census of Governments, 1977:  Work Stoppages	1984-07-02 00:00:00
8120	ABC News/Washington Post Election Exit Polls, 1982	1984-07-12 00:00:00
8121	Dutch Parliamentary Election Study, 1982	1985-10-09 00:00:00
8122	Census of Population and Housing, 1970 [United States]: Summary Statistic File 1B [First Count]	1984-06-28 00:00:00
8126	Census of Population and Housing, 1970 [United States]:  Summary Statistic File 4A -- Housing [Fourth Count] 	2001-03-27 00:00:00
8127	Census of Population and Housing, 1970 [United States]:  Summary Statistic File 4B:  Population [Fourth Count] 	1984-06-28 00:00:00
8129	Census of Population and Housing, 1970 [United States]:  Summary Statistic File 4C -- Housing [Fourth Count] 	2001-03-27 00:00:00
8130	American Public Opinion and U.S. Foreign Policy, 1982 	1984-06-20 00:00:00
8133	Annual Survey of Governments, 1981:  Finance Statistics	1984-05-03 00:00:00
8134	Annual Survey of Governments, 1981:  Employment Statistics	1984-05-03 00:00:00
8136	Annual Housing Survey, 1976 [United States]: Travel-to-Work [SMSAs]	1984-07-12 00:00:00
8137	Current Population Survey, May 1980	1984-06-28 00:00:00
8138	Health and Nutrition Examination Survey I, 1971-1975:  Medical History Questionnaire, Ages 1-11	1984-05-03 00:00:00
8139	Migration Data by County, 1980 to 1982	1984-07-12 00:00:00
8140	Annual Survey of Governments, 1980: Finance Statistics	1984-07-12 00:00:00
8141	Annual Survey of Governments, 1980: Employment Statistics	1984-07-12 00:00:00
8142	County Business Patterns, 1980 [United States]: U.S. Summary, State, and County Data	1984-07-12 00:00:00
8143	Current Population Survey, June 1981	1984-06-28 00:00:00
8144	Current Population Survey, June 1982	1984-06-28 00:00:00
8145	Annual Survey of Governments, 1978: Employment Statistics	1984-07-12 00:00:00
8146	Annual Survey of Governments, 1978: Finance Statistics	1984-07-12 00:00:00
8147	Annual Survey of Governments, 1976: Finance Statistics	1984-07-12 00:00:00
8148	Annual Survey of Governments, 1979: Finance Statistics	1984-07-12 00:00:00
8149	Annual Survey of Governments, 1979: Employment Statistics	1984-07-12 00:00:00
8150	County-Level Political, Economic, and Social Statistics for New York State: 1962-1978	1984-07-19 00:00:00
8151	Content Codings of Level of Political Conceptualization, 1956-1988 [United States]	1984-07-13 00:00:00
8152	Euro-barometer 19:  Gender Roles in the European Community, April 1983	1984-07-12 00:00:00
8153	Current Population Survey, May 1981	1984-06-28 00:00:00
8154	Annual Housing Survey, 1979 [United States]:  National File	1984-06-28 00:00:00
8155	Women in Development IV, 1983	1984-05-10 00:00:00
8156	Work Stoppages Historical File, 1953-1981  [United States]	1984-07-12 00:00:00
8157	Census of Population and Housing, 1980 [United States]: Summary Tape File 3D	1984-06-28 00:00:00
8158	Campaign Expenditures in the United States, 1977-1978 and 1979-1980	1984-07-13 00:00:00
8159	Basic Geographic and Historic Data for Interfacing ICPSR Data Sets, 1620-1983 [United States]	1984-07-13 00:00:00
8161	Attitudes of American State Legislators, 1975	1984-11-12 00:00:00
8162	Reactions to Crime Project, 1977 [Chicago, Philadelphia, San Francisco]: Survey on Fear of Crime and Citizen Behavior	1984-07-13 00:00:00
8163	Juvenile Delinquency and Adult Crime, 1948-1977 [Racine, Wisconsin]: Three Birth Cohorts	1984-07-13 00:00:00
8164	Juvenile Delinquency and Adult Crime, 1948-1977 [Racine, Wisconsin]: City Ecological Data	1984-07-12 00:00:00
8166	Consumer Price Index, 1913-1992	1984-05-11 00:00:00
8167	Crime, Fear, and Control in Neighborhood Commercial Centers:  Minneapolis and St. Paul, 1970-1982	1987-01-12 00:00:00
8168	CBS News/New York Times Election Day Surveys, 1982	1984-07-19 00:00:00
8169	Survey of Jail and Prison Inmates, 1978:  California, Michigan, Texas	1984-07-16 00:00:00
8170	Census of Population and Housing, 1980 [United States]: Public Use Microdata Sample (B Sample): 1-Percent Sample	1984-07-12 00:00:00
8171	Payment Method Costs Assessment: Survey of Retailers, 1983 [United States]	1984-07-13 00:00:00
8172	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, January 1983	1985-01-11 00:00:00
8173	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, February 1983	1985-01-11 00:00:00
8174	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, April 1983	1985-01-11 00:00:00
8175	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, May 1983 	1985-01-11 00:00:00
8176	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, June 1983	1985-01-11 00:00:00
8177	ABC News/Washington Post Poll of Public Opinion on Current Social and Political Issues, July 1983	1985-01-11 00:00:00
