study	code	description
7980	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7981	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7982	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7983	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7984	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7985	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7986	II.A.1	Community and Urban Studies, Studies of Local Politics, United States
7986	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
7987	IX	Health Care and Health Facilities
7989	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
7990	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
7991	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
7992	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
7993	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
7994	XII	Legal Systems
7995	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
7996	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
7998	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
7999	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
8000	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
8001	IX	Health Care and Health Facilities
8002	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8003	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8004	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8010	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
8011	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8012	IV.B	Economic Behavior and Attitudes, Surveys of Economic Attitudes and Behavior
8013	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8014	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8015	IV.B	Economic Behavior and Attitudes, Surveys of Economic Attitudes and Behavior
8016	XVII.H	Social Institutions and Behavior, Family and Gender
8017	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8018	V.A	Education, United States
8019	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8020	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8021	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8022	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8023	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8024	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8025	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8026	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8036	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8037	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8038	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8039	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8040	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8042	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8043	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8044	IX	Health Care and Health Facilities
8046	IX	Health Care and Health Facilities
8047	IX	Health Care and Health Facilities
8048	IX	Health Care and Health Facilities
8049	IX	Health Care and Health Facilities
8050	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8051	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8052	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8053	XVI.B	Social Indicators, Nations Other Than the United States
8054	XVI.B	Social Indicators, Nations Other Than the United States
8055	IX	Health Care and Health Facilities
8056	IX	Health Care and Health Facilities
8057	IX	Health Care and Health Facilities
8058	IX	Health Care and Health Facilities
8059	IX	Health Care and Health Facilities
8060	IX	Health Care and Health Facilities
8061	IX	Health Care and Health Facilities
8062	IX	Health Care and Health Facilities
8063	IX	Health Care and Health Facilities
8064	IX	Health Care and Health Facilities
8065	IX	Health Care and Health Facilities
8066	IX	Health Care and Health Facilities
8067	IX	Health Care and Health Facilities
8068	IX	Health Care and Health Facilities
8069	IX	Health Care and Health Facilities
8070	IX	Health Care and Health Facilities
8071	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8072	V.A	Education, United States
8074	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8075	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8076	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8077	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8078	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8079	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
8080	VIII.A	Governmental Structures, Policies, and Capabilities, Behavior and Attitudes of Bureaucrats
8082	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8084	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8085	V.A	Education, United States
8086	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8087	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8088	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8089	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8090	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8091	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8092	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
8093	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8094	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8100	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8101	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8102	IX	Health Care and Health Facilities
8103	IX	Health Care and Health Facilities
8104	IX	Health Care and Health Facilities
8105	IX	Health Care and Health Facilities
8106	IX	Health Care and Health Facilities
8107	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8108	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8109	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8112	XVII.G	Social Institutions and Behavior, Vital Statistics
8113	XVII.G	Social Institutions and Behavior, Vital Statistics
8114	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8115	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8116	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8117	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8118	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8119	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8120	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8121	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
8122	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8126	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8127	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8129	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8130	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8133	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8134	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8136	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8137	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8138	IX	Health Care and Health Facilities
8139	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8140	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8141	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8142	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8143	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8144	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8145	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8146	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8147	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8148	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8149	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8150	XIV.A.4.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, United States
8151	XIV.A.2.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, United States
8152	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
8153	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8154	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8155	XVI.B	Social Indicators, Nations Other Than the United States
8156	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8157	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8158	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
8159	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8161	XIII.B	Legislative and Deliberative Bodies, Studies of Decision-Making in Deliberative Bodies
8162	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8163	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8164	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8166	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
8167	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8168	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8169	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8170	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8171	IV.B	Economic Behavior and Attitudes, Surveys of Economic Attitudes and Behavior
8172	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8173	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8174	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8175	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8176	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8177	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8178	XIV.A.2.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, United States
8179	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8180	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8181	XVII.H	Social Institutions and Behavior, Family and Gender
8182	IX	Health Care and Health Facilities
8183	IX	Health Care and Health Facilities
8185	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8186	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8187	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8188	XI.D	International Systems: Linkages, Relationships, and Events, Alliances and Military Affairs
8189	II.B	Community and Urban Studies, Detroit Area Studies
8190	II.B	Community and Urban Studies, Detroit Area Studies
8191	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8192	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8193	XIV.A.2.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, United States
8194	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8196	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
8197	XVI.B	Social Indicators, Nations Other Than the United States
8199	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8200	II.C	Community and Urban Studies, Historical Urban and Community Structure Studies
8201	XVII.F	Social Institutions and Behavior, Leisure and Recreation
8203	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8205	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8206	VI.A	Elites and Leadership, United States
8207	VI.A	Elites and Leadership, United States
8208	VI.A	Elites and Leadership, United States
8209	VI.A	Elites and Leadership, United States
8210	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8211	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8212	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8214	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8215	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8217	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8218	XII	Legal Systems
8219	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8220	IX	Health Care and Health Facilities
8222	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8223	IX	Health Care and Health Facilities
8224	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8225	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8226	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8228	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8229	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8231	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8232	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8233	XIV.A.2.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, United States
8234	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
8235	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
8236	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
8237	IX	Health Care and Health Facilities
8238	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
8239	IX	Health Care and Health Facilities
8240	IV.B	Economic Behavior and Attitudes, Surveys of Economic Attitudes and Behavior
8242	XIV.A.4.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, United States
8243	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8244	IX	Health Care and Health Facilities
8245	IX	Health Care and Health Facilities
8246	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
8247	XIV.A.3.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, Nations Other Than the United States
8248	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8249	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8250	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8251	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
8252	XII	Legal Systems
8253	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8254	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8255	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8256	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8257	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8258	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8259	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8260	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8261	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8262	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8263	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
8264	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8265	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8266	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8267	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8268	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8269	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8274	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8275	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8276	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8277	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8278	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8279	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8281	XIV.D	Mass Political Behavior and Attitudes, Political Parties
8282	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8284	XV.A	Organizational Behavior, United States
8285	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8286	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8287	V.A	Education, United States
8288	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8289	V.A	Education, United States
8290	V.A	Education, United States
8291	V.A	Education, United States
8292	V.A	Education, United States
8293	V.A	Education, United States
8295	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8296	XVII.F	Social Institutions and Behavior, Leisure and Recreation
8297	V.A	Education, United States
8298	XIV.A.2.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, United States
8299	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8300	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8301	IX	Health Care and Health Facilities
8302	IX	Health Care and Health Facilities
8303	III.B	Conflict, Aggression, Violence, Wars, Conflict Between and Among Nations
8307	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8309	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
8310	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8312	XIII.B	Legislative and Deliberative Bodies, Studies of Decision-Making in Deliberative Bodies
8313	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8314	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8315	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8316	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8317	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8318	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8319	IX	Health Care and Health Facilities
8320	XVI.B	Social Indicators, Nations Other Than the United States
8321	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
8321	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8322	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
8322	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8323	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8324	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8325	IX	Health Care and Health Facilities
8327	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8328	XVII.H	Social Institutions and Behavior, Family and Gender
8329	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8330	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8331	I.A.2	Census Enumerations: Historical and Contemporary Population Characteristics, United States, American Housing Survey Series
8332	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8333	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8334	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8335	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
8335	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8336	IX	Health Care and Health Facilities
8337	IX	Health Care and Health Facilities
8338	IX	Health Care and Health Facilities
8339	IX	Health Care and Health Facilities
8340	IX	Health Care and Health Facilities
8341	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8341	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8342	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
8342	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8343	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
8344	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
8345	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8346	VII	Geography and Environment
8347	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
8348	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8349	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
8349	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8350	X.A.3	Instructional Packages and Computer Programs, Instructional Packages, Other Instructional Packages
8352	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
8353	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
8354	XVII.B	Social Institutions and Behavior, Religion
8355	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8356	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8357	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8358	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8359	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8360	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8361	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
8361	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8362	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8363	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8364	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
8365	XVI.B	Social Indicators, Nations Other Than the United States
8366	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8367	VI.A	Elites and Leadership, United States
8368	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8369	VII	Geography and Environment
8370	IX	Health Care and Health Facilities
8371	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
8371	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8372	X.B	Instructional Packages and Computer Programs, Computer Programs
8373	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8374	VII	Geography and Environment
8375	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8376	VII	Geography and Environment
8377	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8378	VII	Geography and Environment
8379	VII	Geography and Environment
8380	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
8381	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8382	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8383	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8384	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
8385	IX	Health Care and Health Facilities
8386	IX	Health Care and Health Facilities
8387	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8388	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
8389	XIII.B	Legislative and Deliberative Bodies, Studies of Decision-Making in Deliberative Bodies
8390	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
8391	XVI.B	Social Indicators, Nations Other Than the United States
8392	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8394	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8395	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
8396	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
8397	V.A	Education, United States
8398	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8399	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
8400	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8401	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8402	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
8403	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
8404	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
